day,avg_sentiment
2022-01-01,0.79498255868665
2022-01-02,0.83598816068905
2022-01-03,0.5380607171199799
2022-01-04,0.60405476091106
2022-01-05,0.6040568746507899
2022-01-06,0.3252602316900299
2022-01-07,0.44241516903738004
2022-01-08,0.4424172827771
2022-01-09,0.44241939651683
2022-01-10,0.4424215102565499
2022-01-11,0.16362486729579
2022-01-12,-0.1151717756649
2022-01-13,-0.11516966192519999
2022-01-14,-0.1151675481855
2022-01-15,-0.1151654344457
2022-01-16,-0.115163320706
2022-01-17,0.1636375497341499
2022-01-18,0.44243842017436
2022-01-19,0.44244053391409
2022-01-20,0.5421035932155299
2022-01-21,0.53998072074806
2022-01-22,0.53998283448778
2022-01-23,0.26118619152702
2022-01-24,0.26118830526674996
2022-01-25,0.26119041900647
2022-01-26,0.5399912894466901
2022-01-27,0.44033245762469986
2022-01-28,0.41503454906372
2022-01-29,0.31396882405561993
2022-01-30,0.5927696944958399
2022-01-31,0.59277180823556
2022-02-01,0.59277392197529
2022-02-02,0.59277603571501
2022-02-03,0.8715769061552299
2022-02-04,0.8990040284028601
2022-02-05,0.999964
2022-02-06,0.9999629999999999
2022-02-07,0.999962
2022-02-08,0.999961
2022-02-09,0.99996
2022-02-10,0.9999589999999999
2022-02-11,0.999958
2022-02-12,0.999957
2022-02-13,0.999956
2022-02-14,0.81768325270467
2022-02-15,0.8176853664443899
2022-02-16,0.81768748018412
2022-02-17,0.8176895939238501
2022-02-18,0.6452650420942
2022-02-19,0.6452671558339199
2022-02-20,0.3664705128731599
2022-02-21,0.27008362175567
2022-02-22,0.15213474797589
2022-02-23,0.13714692282078
2022-02-24,-0.06891958515890001
2022-02-25,0.1035091941501
2022-02-26,0.10351130788983
2022-02-27,0.3823121783300399
2022-02-28,0.66111304877026
2022-03-01,0.77906615002949
2022-03-02,0.52158131785731
2022-03-03,0.7276520533165299
2022-03-04,0.44885541035577
2022-03-05,0.4488575240954999
2022-03-06,0.17006088113474
2022-03-07,0.17006299487446
2022-03-08,-0.0313541719431
2022-03-09,0.13620588243083
2022-03-10,-0.1425907605299
2022-03-11,0.13621010991028
2022-03-12,0.13621222364999988
2022-03-13,0.4150130940902199
2022-03-14,0.41501520782994
2022-03-15,0.61643660212698
2022-03-16,0.5519530535690201
2022-03-17,0.66292452089272
2022-03-18,0.5526377832621999
2022-03-19,0.5526398970019201
2022-03-20,0.28103377976915
2022-03-21,0.28103589350888
2022-03-22,0.2810380072486
2022-03-23,0.4504447274585399
2022-03-24,0.61827624431478
2022-03-25,0.7285672094247599
2022-03-26,0.72856932316448
2022-03-27,0.999914
2022-03-28,0.9999129999999999
2022-03-29,0.999912
2022-03-30,0.75824564686152
